"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"R1","RESC1608N","1420mil","1105mil","1420mil","1105mil","1455.433mil","1105mil","T","180.00","470r"
"R3","RESC1608N","100mil","1705mil","100mil","1705mil","64.567mil","1705mil","T","360.00","4.7K"
"U2","TD03B_N","652.362mil","313.268mil","675mil","455mil","763.583mil","171.535mil","T","0.00","AP1117"
"FB1","INDC1608AN","710mil","870mil","710mil","870mil","710mil","837.52mil","T","90.00","600r"
"P1","PHOENIX_1985195","196.102mil","186.575mil","265mil","285mil","265mil","88.15mil","T","180.00","12V Main"
"R2","PDB181-K415K-102A2","1445mil","1590mil","1445mil","1590mil","1445mil","1393.15mil","T","90.00","1K"
"Y1","XTAL139X50X45","825mil","1920mil","825mil","1920mil","825mil","2107.008mil","T","270.00","8MHz"
"U1","QFP50P1200X1200X120-64","330mil","1390mil","330mil","1390mil","105.591mil","1537.638mil","T","360.00","PIC32MX764F128H"
"R1_LED3","RESC1608N","1515mil","2195mil","1515mil","2195mil","1515mil","2159.567mil","T","90.00","330r"
"R1_LED2","RESC1608N","1405mil","2195mil","1405mil","2195mil","1405mil","2159.567mil","T","90.00","330r"
"R1_LED1","RESC1608N","1290mil","2195mil","1290mil","2195mil","1290mil","2159.567mil","T","90.00","330r"
"R1_LED0","RESC1608N","1170mil","2185mil","1170mil","2185mil","1170mil","2149.567mil","T","90.00","330r"
"P2","PHOENIX_1985195","1358.898mil","588.425mil","1290mil","490mil","1290mil","686.85mil","T","360.00","12V Battery"
"J1","RJ12_90","310.984mil","2020.197mil","185mil","1845mil","235.197mil","1945.394mil","T","90.00","Program / Debug"
"D3","LED_0805","1550mil","1040mil","1550mil","1040mil","1550mil","1080.925mil","T","270.00","Green LED"
"D2","SMA/DO-214AC_21","1220mil","890mil","1220mil","890mil","1298.74mil","890mil","T","180.00","GF1A"
"D1","SMA/DO-214AC_21","315mil","895mil","315mil","895mil","393.74mil","895mil","T","180.00","GF1A"
"D1_LED3","LED_0805","1515mil","2040mil","1515mil","2040mil","1515mil","2080.925mil","T","270.00","Green LED"
"D1_LED2","LED_0805","1405mil","2040mil","1405mil","2040mil","1405mil","2080.925mil","T","270.00","Green LED"
"D1_LED1","LED_0805","1290mil","2040mil","1290mil","2040mil","1290mil","2080.925mil","T","270.00","Green LED"
"D1_LED0","LED_0805","1170mil","2040mil","1170mil","2040mil","1170mil","2080.925mil","T","270.00","Green LED"
"C15","CAPC1608N","880mil","755mil","880mil","755mil","846.535mil","755mil","T","360.00","100nF"
"C14","CAPC1608N","880mil","595mil","880mil","595mil","846.535mil","595mil","T","360.00","1uF"
"C13","CAPC2012N","890mil","675mil","890mil","675mil","846.693mil","675mil","T","360.00","10uF"
"C12","CAPC2012N","920mil","85mil","920mil","85mil","963.307mil","85mil","T","180.00","10uF"
"C11","CAPC1608N","1090mil","1160mil","1090mil","1160mil","1056.535mil","1160mil","T","360.00","1uF"
"C10","CAPC2012N","1035mil","1040mil","1035mil","1040mil","991.693mil","1040mil","T","360.00","10uF"
"C9","CAPC1608N","990mil","1435mil","990mil","1435mil","990mil","1401.535mil","T","90.00","20pF"
"C8","CAPC1608N","1100mil","1810mil","1100mil","1810mil","1133.465mil","1810mil","T","180.00","20pF"
"C7","CAPC1608N","880mil","460mil","880mil","460mil","846.535mil","460mil","T","360.00","100nF"
"C6","CAPC1608N","925mil","1135mil","925mil","1135mil","925mil","1168.465mil","T","270.00","100nF"
"C5","CAPC1608N","855mil","1135mil","855mil","1135mil","855mil","1168.465mil","T","270.00","100nF"
"C4","CAPC1608N","780mil","1135mil","780mil","1135mil","780mil","1168.465mil","T","270.00","100nF"
"C3","CAPC1608N","700mil","1135mil","700mil","1135mil","700mil","1168.465mil","T","270.00","100nF"
"C2","CAPC1608N","625mil","1135mil","625mil","1135mil","625mil","1168.465mil","T","270.00","100nF"
"C1","CAPC2012N","1485mil","875mil","1485mil","875mil","1528.307mil","875mil","T","180.00","10uF"

